"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260915,2026-09-15,099741,CME ,00,099 ,  920035,  209000,  235993,   37369,  485267,  485057,  731636,  758419,  188399,  161616,  920035,  209000,  235993,   37369,  485267,  485057,  731636,  758419,  188399,  161616,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -22429,   10491,   -5132,  -20643, -107895, -101375, -118047, -127150,   95618,  104721,  100.0,   22.7,   25.7,    4.1,   52.7,   52.7,   79.5,   82.4,   20.5,   17.6,  100.0,   22.7,   25.7,    4.1,   52.7,   52.7,   79.5,   82.4,   20.5,   17.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    318,     76,     51,     32,    143,    102,    235,    169,    318,     76,     51,     32,    143,    102,    235,    169,      0,      0,      0,      0,      0,      0,      0,      0,    17.7,    30.6,    25.5,    45.6,    17.5,    30.6,    25.2,    44.5,    17.7,    30.6,    25.5,    45.6,    17.5,    30.6,    25.2,    44.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260908,2026-09-08,099741,CME ,00,099 ,  942464,  198509,  241125,   58012,  593162,  586432,  849683,  885569,   92781,   56895,  942464,  198509,  241125,   58012,  593162,  586432,  849683,  885569,   92781,   56895,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   77052,   -4968,   12723,   15667,   59242,   43785,   69941,   72175,    7111,    4877,  100.0,   21.1,   25.6,    6.2,   62.9,   62.2,   90.2,   94.0,    9.8,    6.0,  100.0,   21.1,   25.6,    6.2,   62.9,   62.2,   90.2,   94.0,    9.8,    6.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    314,     69,     57,     35,    146,     98,    233,    173,    314,     69,     57,     35,    146,     98,    233,    173,      0,      0,      0,      0,      0,      0,      0,      0,    17.1,    38.3,    26.1,    51.5,    17.0,    36.4,    23.7,    46.1,    17.1,    38.3,    26.1,    51.5,    17.0,    36.4,    23.7,    46.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260901,2026-09-01,099741,CME ,00,099 ,  865412,  203477,  228402,   42345,  533920,  542647,  779742,  813394,   85670,   52018,  865412,  203477,  228402,   42345,  533920,  542647,  779742,  813394,   85670,   52018,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   46888,    4558,   -6869,    2989,   40478,   49645,   48025,   45765,   -1137,    1123,  100.0,   23.5,   26.4,    4.9,   61.7,   62.7,   90.1,   94.0,    9.9,    6.0,  100.0,   23.5,   26.4,    4.9,   61.7,   62.7,   90.1,   94.0,    9.9,    6.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    320,     73,     61,     32,    144,     95,    236,    170,    320,     73,     61,     32,    144,     95,    236,    170,      0,      0,      0,      0,      0,      0,      0,      0,    15.4,    40.6,    25.6,    53.7,    13.6,    40.4,    22.5,    50.4,    15.4,    40.6,    25.6,    53.7,    13.6,    40.4,    22.5,    50.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260825,2026-08-25,099741,CME ,00,099 ,  818524,  198919,  235271,   39356,  493442,  493002,  731717,  767629,   86807,   50895,  818524,  198919,  235271,   39356,  493442,  493002,  731717,  767629,   86807,   50895,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   13584,    2678,  -20058,    3427,    7115,   30730,   13220,   14099,     364,    -515,  100.0,   24.3,   28.7,    4.8,   60.3,   60.2,   89.4,   93.8,   10.6,    6.2,  100.0,   24.3,   28.7,    4.8,   60.3,   60.2,   89.4,   93.8,   10.6,    6.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    321,     70,     64,     31,    146,     94,    233,    172,    321,     70,     64,     31,    146,     94,    233,    172,      0,      0,      0,      0,      0,      0,      0,      0,    15.8,    42.9,    25.6,    54.0,    14.3,    42.8,    23.1,    53.0,    15.8,    42.9,    25.6,    54.0,    14.3,    42.8,    23.1,    53.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260818,2026-08-18,099741,CME ,00,099 ,  804940,  196241,  255329,   35929,  486327,  462272,  718497,  753530,   86443,   51410,  804940,  196241,  255329,   35929,  486327,  462272,  718497,  753530,   86443,   51410,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3056,    -945,   -1867,   -5875,    6319,   11467,    -501,    3725,    3557,    -669,  100.0,   24.4,   31.7,    4.5,   60.4,   57.4,   89.3,   93.6,   10.7,    6.4,  100.0,   24.4,   31.7,    4.5,   60.4,   57.4,   89.3,   93.6,   10.7,    6.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    326,     72,     62,     32,    144,    102,    230,    182,    326,     72,     62,     32,    144,    102,    230,    182,      0,      0,      0,      0,      0,      0,      0,      0,    16.1,    39.7,    26.0,    51.4,    14.5,    39.5,    23.3,    50.5,    16.1,    39.7,    26.0,    51.4,    14.5,    39.5,    23.3,    50.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260811,2026-08-11,099741,CME ,00,099 ,  801884,  197186,  257196,   41804,  480008,  450805,  718998,  749805,   82886,   52079,  801884,  197186,  257196,   41804,  480008,  450805,  718998,  749805,   82886,   52079,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1975,   -4661,   -2742,     364,    4339,    6598,      42,    4220,    1933,   -2245,  100.0,   24.6,   32.1,    5.2,   59.9,   56.2,   89.7,   93.5,   10.3,    6.5,  100.0,   24.6,   32.1,    5.2,   59.9,   56.2,   89.7,   93.5,   10.3,    6.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    322,     71,     64,     33,    142,    100,    228,    182,    322,     71,     64,     33,    142,    100,    228,    182,      0,      0,      0,      0,      0,      0,      0,      0,    16.1,    40.2,    25.9,    50.5,    14.4,    40.1,    23.2,    49.5,    16.1,    40.2,    25.9,    50.5,    14.4,    40.1,    23.2,    49.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260804,2026-08-04,099741,CME ,00,099 ,  799909,  201847,  259938,   41440,  475669,  444207,  718956,  745585,   80953,   54324,  799909,  201847,  259938,   41440,  475669,  444207,  718956,  745585,   80953,   54324,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -19897,   -3128,  -17484,    5832,  -25005,   -4753,  -22301,  -16405,    2404,   -3492,  100.0,   25.2,   32.5,    5.2,   59.5,   55.5,   89.9,   93.2,   10.1,    6.8,  100.0,   25.2,   32.5,    5.2,   59.5,   55.5,   89.9,   93.2,   10.1,    6.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    319,     71,     61,     33,    143,     97,    228,    178,    319,     71,     61,     33,    143,     97,    228,    178,      0,      0,      0,      0,      0,      0,      0,      0,    15.7,    40.4,    26.2,    51.3,    13.9,    40.3,    23.5,    50.1,    15.7,    40.4,    26.2,    51.3,    13.9,    40.3,    23.5,    50.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260728,2026-07-28,099741,CME ,00,099 ,  819806,  204975,  277422,   35608,  500674,  448960,  741257,  761990,   78549,   57816,  819806,  204975,  277422,   35608,  500674,  448960,  741257,  761990,   78549,   57816,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   19745,  -15490,   15619,    4530,   32629,   -1110,   21669,   19039,   -1924,     706,  100.0,   25.0,   33.8,    4.3,   61.1,   54.8,   90.4,   92.9,    9.6,    7.1,  100.0,   25.0,   33.8,    4.3,   61.1,   54.8,   90.4,   92.9,    9.6,    7.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    328,     72,     68,     33,    141,    101,    228,    187,    328,     72,     68,     33,    141,    101,    228,    187,      0,      0,      0,      0,      0,      0,      0,      0,    15.5,    40.8,    25.8,    51.6,    13.8,    40.6,    23.2,    50.8,    15.5,    40.8,    25.8,    51.6,    13.8,    40.6,    23.2,    50.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260721,2026-07-21,099741,CME ,00,099 ,  800061,  220465,  261803,   31078,  468045,  450070,  719588,  742951,   80473,   57110,  800061,  220465,  261803,   31078,  468045,  450070,  719588,  742951,   80473,   57110,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     566,   -9842,   18891,    2333,   10451,  -20914,    2942,     310,   -2376,     256,  100.0,   27.6,   32.7,    3.9,   58.5,   56.3,   89.9,   92.9,   10.1,    7.1,  100.0,   27.6,   32.7,    3.9,   58.5,   56.3,   89.9,   92.9,   10.1,    7.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    326,     74,     67,     34,    134,    101,    224,    187,    326,     74,     67,     34,    134,    101,    224,    187,      0,      0,      0,      0,      0,      0,      0,      0,    16.0,    42.2,    25.9,    52.6,    14.2,    42.0,    23.4,    51.5,    16.0,    42.2,    25.9,    52.6,    14.2,    42.0,    23.4,    51.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",260714,2026-07-14,099741,CME ,00,099 ,  799495,  230307,  242912,   28745,  457594,  470984,  716646,  742641,   82849,   56854,  799495,  230307,  242912,   28745,  457594,  470984,  716646,  742641,   82849,   56854,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4662,    6877,    3255,    1544,   -3075,     291,    5346,    5090,    -684,    -428,  100.0,   28.8,   30.4,    3.6,   57.2,   58.9,   89.6,   92.9,   10.4,    7.1,  100.0,   28.8,   30.4,    3.6,   57.2,   58.9,   89.6,   92.9,   10.4,    7.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    327,     83,     60,     31,    133,    103,    231,    179,    327,     83,     60,     31,    133,    103,    231,    179,      0,      0,      0,      0,      0,      0,      0,      0,    15.9,    42.5,    26.5,    52.0,    14.1,    42.3,    24.1,    51.2,    15.9,    42.5,    26.5,    52.0,    14.1,    42.3,    24.1,    51.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
